MilkTv-大陸頻道,#genre#
TVB 亚洲剧台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477549.m3u8
TVB 华语台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477550.m3u8
香港賽馬台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476980.m3u8
蓮花衛視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476988.m3u8
美亚高清电影台(香港),http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476212.m3u8
美亞電影台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477078.m3u8
星河频道,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476993.m3u8
星衛电影台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477077.m3u8
天映頻道,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476310.m3u8
MYTV SUPER ,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477551.m3u8
华纳WBTV,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476977.m3u8
尼克动画高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477025.m3u8
hoy资讯台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/481867.m3u8
tvb综合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/479226.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
MilkTv-台灣頻道,#genre#
cnn,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488932.m3u8
民視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476986.m3u8
民視（备）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488996.m3u8
人间卫视,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488957.m3u8
台視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/495824.m3u8
台視（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488998.m3u8
台視（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/507781.m3u8
大愛電視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477082.m3u8
中視 HD,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476983.m3u8
中視（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488999.m3u8
霹雳台湾,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488941.m3u8
華視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476985.m3u8
華視（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488997.m3u8
公視,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476984.m3u8
公視（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489000.m3u8
幸福空間居家台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488986.m3u8
好消息,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476227.m3u8
原住民頻道,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476228.m3u8
客家電視台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476229.m3u8
國家地理,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476279.m3u8
探索頻道,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476277.m3u8
動物星球,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477088.m3u8
CN卡通,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476247.m3u8
迪士尼1,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/495450.m3u8
Momo親子台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477060.m3u8
東森幼幼,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476246.m3u8
緯來綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477086.m3u8
八大第1台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477071.m3u8
八大第一台（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489004.m3u8
八大綜合台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477069.m3u8
八大綜合台（備）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/489003.m3u8
三立台湾台高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477050.m3u8
三立台湾台（备）,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/481765.m3u8
三立都會台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476232.m3u8
衛視中文台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/488933.m3u8
東森綜合,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476987.m3u8
