headers={"Authorization" : "XYhuY+UG500vL5IjopI/Q7LL/jTgBBMbFRnibjn0Xyn+Bua+OhauCO2LJz5Df8Uxg2J6YyIkNhsAX/Qph0eNSf6UfQFRDKKLjUZ+8ZSSBE5LsQgAjbD9mSZBh7afBvgk2EvgVKA6+NzFT3NuooK5La38FZ9Af/GgIeFISnwNlnlUa5facSasYe8TZZtAEKL8G4rj+KkG7hpQK1sCColjvdYYDg73AFyqAsgo2QTXrkagFXHnJLnuB9vfoxW/PNUSMBr4W+aG9I7rvfeIH0VXZtKY4E5B8SpRaQEbFTUAjAUghhMRRhpMFskHrDywG0xOLXIxl1olyMeTPLA7tl6uI+2lgFXNQX3hY0Gg63kwNg3TF8BJx4i9KeeOQrUPGOqmxwUmQuwHtPlgHlrQzzHWA8yGT6uJrKsBT2uW50kp7vs="  }
台灣,#genre#
東森戲劇,http://vnd.anddowns1888.com:8080/live/m3u8/2825/9eb9d57c8d4d49fbe98b24dfccea0398/playlist.m3u8
東森戲劇備,http://nsk.anddowns1888.com:8080/live/m3u8/321/f11d82c3c6bb92bfad182950b5ebbd71/playlist.m3u8
八大戲劇台,http://qlf.anddowns1888.com:8080/live/m3u8/81/95825195a6d6845570518e155dcb9c2e/playlist.m3u8
東森電影台,http://ykp.anddowns1888.com:8080/live/m3u8/350/04f4ab7fde5cd50926439b7825a8bc97/playlist.m3u8
東森電影台,http://mjh.anddowns1888.com:8080/live/m3u8/2720/8b1039e5f4450bd09ee1baed6a062bfb/playlist.m3u8
緯來電影台,http://mjh.anddowns1888.com:8080/live/m3u8/2728/b13542d634329da096611dfbad6177d2/playlist.m3u8
HBO HD,http://ltr.anddowns1888.com:8080/live/m3u8/332/37f7ac1d2d135f8c30d56c82a8219b37/playlist.m3u8
東森洋片,http://nsk.anddowns1888.com:8080/live/m3u8/1128/566ee746a9887c490a0e5c08f84e27e2/playlist.m3u8
好萊塢電影,http://xbt.anddowns1888.com:8080/live/m3u8/37/69b6a4a186bc82c247ef39f3499ca76d/playlist.m3u8
愛爾達影劇,http://ykp.anddowns1888.com:8080/live/m3u8/500/7a0171e994fa6778bfd86f938116bc48/playlist.m3u8
Cinemax,http://mjh.anddowns1888.com:8080/live/m3u8/346/65c38dd47de7af722f9b0d98c5e023be/playlist.m3u8
三立戲劇台,http://xbt.anddowns1888.com:8080/live/m3u8/64/c9534747fe1a8ce1358f18cf2f670d87/playlist.m3u8
華納電影台,http://qlf.anddowns1888.com:8080/live/m3u8/83/9b23eb84c03de435fc90780f505758d9/playlist.m3u8
體育,#genre#
緯來體育,http://pfc.anddowns1888.com:8080/live/m3u8/118/c8ff9e2e46cb5d2c86fa0ca38d66038f/playlist.m3u8
愛爾達體育1台,http://ykp.anddowns1888.com:8080/live/m3u8/192/1f54704a7b6efcc7f866c6158d3aa98f/playlist.m3u8
愛爾達體育1台,http://hrt.anddowns1888.com:8080/live/m3u8/2729/e061667a79920e65c485b827216530df/playlist.m3u8
愛爾達體育3台,http://ykp.anddowns1888.com:8080/live/m3u8/194/c48094e60be079492afe9fae5d793dea/playlist.m3u8
愛爾達體育4台,http://wjz.anddowns1888.com:8080/live/m3u8/2820/6f27f607f242fcfc03ea8a9d401c55d6/playlist.m3u8
Eleven sport2,http://pfc.anddowns1888.com:8080/live/m3u8/301/f6e8f796280b43a8960a146f850865b0/playlist.m3u8
博斯運動1,http://ltr.anddowns1888.com:8080/live/m3u8/379/55d914491eaae619c35c5af7bb359749/playlist.m3u8
博斯運動2,http://ltr.anddowns1888.com:8080/live/m3u8/380/7d6befa36bbb875bae78c4277b618bed/playlist.m3u8
紀實,#genre#
亞洲旅遊,http://mjh.anddowns1888.com:8080/live/m3u8/2299/df47776365a365c263337ec936cf1a83/playlist.m3u8
動物星球,http://mjh.anddowns1888.com:8080/live/m3u8/367/61905fe39e7a001aaea26b8343a4e155/playlist.m3u8
探索eve,http://nsk.anddowns1888.com:8080/live/m3u8/1036/53aed1c253dab7e458dcb10709e04607/playlist.m3u8
美食星球,http://nsk.anddowns1888.com:8080/live/m3u8/1360/9a0080c85a512ebadb2b130b39ba058b/playlist.m3u8
少兒,#genre#
